class_name,service
net.jforum.util.mail.Spammer,Utility Service 1
net.jforum.util.mail.EmailSenderTask,Utility Service 1
net.jforum.sso.SSO,Utility Service 1
net.jforum.formatters.PostOptions,Utility Service 1
net.jforum.formatters.Formatter,Utility Service 1
net.jforum.core.exceptions.MailException,Utility Service 1
net.jforum.formatters.SmiliesFormatter,Utility Service 1
net.jforum.util.SafeHtml,Utility Service 1
net.jforum.formatters.HtmlEntitiesFormatter,Utility Service 1
net.jforum.formatters.SafeHtmlTagsFormatter,Utility Service 1
net.jforum.core.exceptions.ForumException,Utility Service 1
net.jforum.controllers.UserAdminController,Utility Service 1
net.jforum.formatters.BBCode,Utility Service 1
net.jforum.util.mail.IdentifiableMimeMessage,Utility Service 1
net.jforum.util.mail.SpammerFactory,Utility Service 1
net.jforum.sso.RemoteUserSSO,Utility Service 1
net.jforum.formatters.SafeHtmlAttributesFormatter,Utility Service 1
net.jforum.util.ImageUtils,Utility Service 1
net.jforum.util.mail.PrivateMessageSpammer,Utility Service 1
net.jforum.util.mail.LostPasswordSpammer,Utility Service 1
net.jforum.util.mail.TopicReplySpammer,Utility Service 1
net.jforum.formatters.NewLineToHtmlBreakFormatter,Utility Service 1
net.jforum.util.JForumConfig,Utility Service 1
net.jforum.controllers.UserController,Utility Service 1
net.jforum.core.tags.URLTag,Utility Service 2
net.jforum.core.tags.DisplayForumsTag,Utility Service 2
net.jforum.core.tags.I18nTag,Utility Service 2
net.jforum.core.tags.JForumTag,Utility Service 2
net.jforum.core.tags.DisplayFormattedMessageTag,Utility Service 2
net.jforum.core.tags.SettingsTag,Utility Service 2
net.jforum.formatters.PostFormatters,Utility Service 2
net.jforum.core.tags.ImportFileTag,Utility Service 2
net.jforum.core.tags.FormatSignatureTag,Utility Service 2
net.jforum.core.tags.DisplayCategoriesTag,Utility Service 2
net.jforum.core.tags.ImportResponseWrapper,Utility Service 2
net.jforum.core.tags.TemplateResourceTag,Utility Service 2
net.jforum.actions.helpers.PostFormOptions,Utility Service 3
net.jforum.actions.helpers.ActionUtils,Utility Service 3
net.jforum.util.UploadUtils,Utility Service 4
net.jforum.actions.helpers.AttachedFile,Utility Service 4
net.jforum.sso.LoginAuthenticator,Utility Service 5
net.jforum.sso.DefaultLoginAuthenticator,Utility Service 5
net.jforum.util.MD5,Utility Service 6
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 7
net.jforum.controllers.AdminController,Utility Service 8
net.jforum.core.exceptions.ValidationException,Utility Service 9
net.jforum.util.GroupInteractionFilter,Utility Service 10
net.jforum.core.tags.Functions,Utility Service 11
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 12
net.jforum.util.ImageInfo,Utility Service 13
net.jforum.actions.helpers.ApproveInfo,Utility Service 14
net.jforum.util.URLBuilder,Utility Service 15
net.jforum.util.mail.MessageId,Utility Service 16
net.jforum.util.CategoryOrderComparator,Utility Service 17
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 18
net.jforum.sso.SSOUtils,Utility Service 19
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 20
