class_name,service
net.jforum.entities.ForumWatch,Entity Service 10
net.jforum.repository.CategoryRepository,Entity Service 11
net.jforum.entities.Theme,Entity Service 11
net.jforum.entities.Category,Entity Service 11
net.jforum.entities.Smilie,Entity Service 12
net.jforum.entities.BadWord,Entity Service 13
net.jforum.entities.MostUsersEverOnline,Entity Service 14
net.jforum.entities.Config,Entity Service 15
net.jforum.entities.PollVoter,Entity Service 16
net.jforum.entities.PollOption,Entity Service 16
net.jforum.entities.Poll,Entity Service 16
net.jforum.entities.AttachmentExtension,Entity Service 17
net.jforum.entities.AttachmentExtensionGroup,Entity Service 17
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 18
net.jforum.repository.ModerationLogRepository,Entity Service 19
net.jforum.entities.Group,Entity Service 20
net.jforum.entities.Role,Entity Service 20
net.jforum.repository.BanlistRepository,Entity Service 21
net.jforum.repository.PostRepository,Entity Service 22
net.jforum.repository.GroupRepository,Entity Service 23
net.jforum.repository.SearchRepository,Entity Service 24
net.jforum.entities.util.SearchMatchType,Entity Service 24
net.jforum.entities.util.SearchSort,Entity Service 24
net.jforum.entities.util.SearchParams,Entity Service 24
net.jforum.entities.util.SearchSortType,Entity Service 24
net.jforum.repository.BadWordRepository,Entity Service 25
net.jforum.repository.PollRepository,Entity Service 26
net.jforum.repository.PrivateMessageRepository,Entity Service 27
net.jforum.entities.Attachment,Entity Service 27
net.jforum.entities.PrivateMessage,Entity Service 27
net.jforum.entities.PostReportStatus,Entity Service 27
net.jforum.entities.PostReport,Entity Service 27
net.jforum.entities.Post,Entity Service 27
net.jforum.repository.RankingRepository,Entity Service 28
net.jforum.repository.SessionRepository,Entity Service 29
net.jforum.repository.ThemeRepository,Entity Service 30
net.jforum.repository.ConfigRepository,Entity Service 31
net.jforum.util.ImageInfo,Utility Service 1
net.jforum.util.mail.MessageId,Utility Service 2
net.jforum.core.tags.JForumTag,Utility Service 3
net.jforum.core.tags.FormatSignatureTag,Utility Service 3
net.jforum.core.tags.DisplayFormattedMessageTag,Utility Service 3
net.jforum.core.tags.DisplayCategoriesTag,Utility Service 3
net.jforum.core.tags.URLTag,Utility Service 3
net.jforum.core.tags.ImportFileTag,Utility Service 3
net.jforum.core.tags.TemplateResourceTag,Utility Service 3
net.jforum.core.tags.ImportResponseWrapper,Utility Service 3
net.jforum.core.tags.DisplayForumsTag,Utility Service 3
net.jforum.formatters.PostFormatters,Utility Service 3
net.jforum.core.tags.SettingsTag,Utility Service 3
net.jforum.formatters.PostOptions,Utility Service 4
net.jforum.formatters.SmiliesFormatter,Utility Service 4
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 5
net.jforum.actions.helpers.PostFormOptions,Utility Service 6
net.jforum.actions.helpers.ActionUtils,Utility Service 6
net.jforum.util.MD5,Utility Service 7
net.jforum.util.GroupInteractionFilter,Utility Service 8
net.jforum.core.exceptions.ForumException,Utility Service 9
net.jforum.util.I18n,Utility Service 9
net.jforum.util.ImageUtils,Utility Service 9
net.jforum.core.tags.I18nTag,Utility Service 9
net.jforum.actions.helpers.ApproveInfo,Utility Service 10
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 11
net.jforum.util.URLBuilder,Utility Service 12
net.jforum.actions.helpers.AttachedFile,Utility Service 13
net.jforum.util.UploadUtils,Utility Service 13
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 14
net.jforum.controllers.AdminController,Utility Service 15
net.jforum.formatters.SafeHtmlTagsFormatter,Utility Service 16
net.jforum.formatters.NewLineToHtmlBreakFormatter,Utility Service 16
net.jforum.formatters.HtmlEntitiesFormatter,Utility Service 16
net.jforum.util.SafeHtml,Utility Service 16
net.jforum.formatters.Formatter,Utility Service 16
net.jforum.formatters.BBCode,Utility Service 16
net.jforum.formatters.BBConfigFormatter,Utility Service 16
net.jforum.formatters.SafeHtmlAttributesFormatter,Utility Service 16
net.jforum.sso.RemoteUserSSO,Utility Service 17
net.jforum.sso.SSO,Utility Service 17
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 18
net.jforum.util.CategoryOrderComparator,Utility Service 19
net.jforum.util.mail.Spammer,Utility Service 20
net.jforum.util.mail.TopicReplySpammer,Utility Service 20
net.jforum.controllers.UserController,Utility Service 20
net.jforum.util.mail.SpammerFactory,Utility Service 20
net.jforum.util.mail.PrivateMessageSpammer,Utility Service 20
net.jforum.core.exceptions.MailException,Utility Service 20
net.jforum.controllers.UserAdminController,Utility Service 20
net.jforum.util.mail.ActivationKeySpammer,Utility Service 20
net.jforum.util.mail.IdentifiableMimeMessage,Utility Service 20
net.jforum.util.JForumConfig,Utility Service 20
net.jforum.util.mail.EmailSenderTask,Utility Service 20
net.jforum.util.mail.LostPasswordSpammer,Utility Service 20
net.jforum.core.exceptions.ValidationException,Utility Service 21
net.jforum.core.tags.Functions,Utility Service 22
net.jforum.sso.DefaultLoginAuthenticator,Utility Service 23
net.jforum.sso.LoginAuthenticator,Utility Service 23
net.jforum.sso.SSOUtils,Utility Service 24
