class_name,service
net.jforum.util.mail.LostPasswordSpammer,Utility Service 4
net.jforum.formatters.PostOptions,Utility Service 5
net.jforum.formatters.SmiliesFormatter,Utility Service 5
net.jforum.actions.helpers.PostFormOptions,Utility Service 6
net.jforum.actions.helpers.ActionUtils,Utility Service 6
net.jforum.core.tags.ImportFileTag,Utility Service 7
net.jforum.core.tags.ImportResponseWrapper,Utility Service 7
net.jforum.core.exceptions.ForumException,Utility Service 8
net.jforum.util.ImageUtils,Utility Service 8
net.jforum.sso.RemoteUserSSO,Utility Service 9
net.jforum.sso.SSO,Utility Service 9
net.jforum.formatters.BBConfigFormatter,Utility Service 10
net.jforum.formatters.BBCode,Utility Service 10
net.jforum.sso.DefaultLoginAuthenticator,Utility Service 11
net.jforum.sso.LoginAuthenticator,Utility Service 11
net.jforum.formatters.PostFormatters,Utility Service 12
net.jforum.core.tags.DisplayFormattedMessageTag,Utility Service 12
net.jforum.actions.helpers.AttachedFile,Utility Service 13
net.jforum.util.UploadUtils,Utility Service 13
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 14
net.jforum.util.MD5,Utility Service 15
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 16
net.jforum.util.URLBuilder,Utility Service 17
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 18
net.jforum.controllers.AdminController,Utility Service 19
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 20
net.jforum.util.CategoryOrderComparator,Utility Service 21
net.jforum.sso.SSOUtils,Utility Service 22
net.jforum.util.ImageInfo,Utility Service 23
net.jforum.util.mail.MessageId,Utility Service 24
net.jforum.util.GroupInteractionFilter,Utility Service 25
net.jforum.actions.helpers.ApproveInfo,Utility Service 26
net.jforum.core.exceptions.ValidationException,Utility Service 27
net.jforum.core.tags.Functions,Utility Service 28
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 29
net.jforum.util.MD5,Utility Service 30
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 31
net.jforum.util.URLBuilder,Utility Service 32
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 33
net.jforum.controllers.AdminController,Utility Service 34
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 35
net.jforum.util.CategoryOrderComparator,Utility Service 36
net.jforum.sso.SSOUtils,Utility Service 37
net.jforum.util.ImageInfo,Utility Service 38
net.jforum.util.mail.MessageId,Utility Service 39
net.jforum.util.GroupInteractionFilter,Utility Service 40
net.jforum.actions.helpers.ApproveInfo,Utility Service 41
net.jforum.core.exceptions.ValidationException,Utility Service 42
net.jforum.core.tags.Functions,Utility Service 43
